Package,Name,Version,Architecture
com.flarezephyr.Fine,Fine,1.2,iphoneos-arm64
com.foxfort.amazonite,AmazoNite,2.0.2,iphoneos-arm
com.foxfort.aperturize,Aperturize,2.4.0,iphoneos-arm64
com.foxfort.backtrix,Backtrix,1.1.4,iphoneos-arm
com.foxfort.camcontrolsx,CamControls X,1.0.2,iphoneos-arm
com.foxfort.checkl0ck,Checkl0ck,1.7.4,iphoneos-arm64
com.foxfort.darkgmaps,Dark GMaps,3.0.1,iphoneos-arm
com.foxfort.darksounds,DarkSounds,1.5.6,iphoneos-arm
com.foxfort.deluminator,Deluminator,4.2.4,iphoneos-arm64
com.foxfort.dimage,Dimage,1.3.0,iphoneos-arm64
com.foxfort.edisonite,EdisoNite,1.1.0,iphoneos-arm
com.foxfort.exiwall,Exiwall,2.1.7,iphoneos-arm64
com.foxfort.facebookdarkmode,FacebookDarkMode,3.1.2,iphoneos-arm
com.foxfort.foxforttools,FoxFort Tools,1.4.9,iphoneos-arm64
com.foxfort.gmailmidnight,Gmail Midnight,2.0.0,iphoneos-arm
com.foxfort.krashkop,KrashKop,1.0.2,iphoneos-arm64
com.foxfort.libfoxfortsplash,libfoxfortsplash,1.1.5,iphoneos-arm
com.foxfort.libfoxfortutils,libfoxfortutils,1.4.9,iphoneos-arm64
com.foxfort.lumi,Lumi,2.2.0,iphoneos-arm
com.foxfort.netfence,NetFence,1.5.9,iphoneos-arm64
com.foxfort.noautostraighten,NoAutoStraighten,1.0.0,iphoneos-arm
com.foxfort.picarize,Picarize,1.0.9,iphoneos-arm64
com.foxfort.portraitxi,PortraitXI,4.3.3,iphoneos-arm64
com.foxfort.translomatic,Translomatic,2.18.9,iphoneos-arm64
com.foxfort.vidnerix,Vidnerix,1.0.2,iphoneos-arm64
com.foxfort.vizage,Vizage,1.0.2,iphoneos-arm64
com.galacticdev.gemini,Gemini,1.0,iphoneos-arm
com.gilshahar7.accessibilityshortcutlistener,AccessibilityShortcutListener,1.0.1,iphoneos-arm
com.gilshahar7.avlock,AVLock,1.0.4,iphoneos-arm
com.gilshahar7.batterynotch,BatteryNotch,1.8,iphoneos-arm
com.gilshahar7.dndmyrecording,DNDMyRecording,1.3,iphoneos-arm64
com.gilshahar7.exacttime,ExactTime,2.0,iphoneos-arm
com.gilshahar7.grider,Grider,1.4,iphoneos-arm64
com.gilshahar7.kleidaria,Kleidaria,1.0.1,iphoneos-arm
com.gilshahar7.notability++,Notability++,1.1.3,iphoneos-arm
com.gilshahar7.pearlretry,PearlRetry,1.2,iphoneos-arm
com.gilshahar7.volumepercent,VolumePercent,1.0,iphoneos-arm
com.gilshahar7.watchsounds,WatchSounds,1.2.1,iphoneos-arm64
com.ginsu.libgscommon,GSCommon,1.1.1,iphoneos-arm
com.ginsu.notchbanners,NotchBanners,2.0,iphoneos-arm
com.gleptech.desa,Desa,1.7.1,iphoneos-arm64
com.hans32.extrude,Extrude,1.1,iphoneos-arm64
com.hitori.centra,Centra,1.0,iphoneos-arm64
com.hitori.hikari,Hikari,1.0,iphoneos-arm64
com.hitori.passtext,PassText,1.0,iphoneos-arm64
com.hitori.zeppelinreborn,Zeppelin Reborn,1.4.2,iphoneos-arm64
com.hoangdus.konban,KonbanXV,1.0.1,iphoneos-arm64
com.hoangdus.speedster,Speedster,2.1.2,iphoneos-arm64
com.hopeless.wechatnoads,WeChatNoAds,0.0.2,iphoneos-arm64
com.ibagraphics.Elusive,Elusive,2.1,iphoneos-arm64
com.ichitaso.iconorder,IconOrder,1.0.4,iphoneos-arm64
com.ichitaso.icontweak,IconTweak,1.0.9,iphoneos-arm
com.ichitaso.icontweak2,IconTweak2,1.0.1,iphoneos-arm64
com.ichitaso.killbackground13,KillBackground13 (13 - 18),1.1.3,iphoneos-arm64
com.ichitaso.notifywifix,NotifyWiFi X,1.1.7,iphoneos-arm
com.ichitaso.textsearchpro2,TextSearchPro2,2.0.2,iphoneos-arm
com.icraze.customplayer,CustomPlayer,1.1.2-1,iphoneos-arm
com.icraze.hestia,Hestia,1.6.5,iphoneos-arm
com.icraze.nexus,Nexus,1.3,iphoneos-arm64
com.icraze.quicksearch,QuickSearch,1.3,iphoneos-arm
com.icraze.rune,Rune,1.5,iphoneos-arm64
com.icraze.scrobbit,Scrobbit,1.6,iphoneos-arm64
com.icraze.sleepsaver,SleepSaver,3.5.2,iphoneos-arm
com.icraze.sleepsaver2,SleepSaver 2,1.2,iphoneos-arm64
com.icraze.tempdrop,TempDrop,1.1,iphoneos-arm64
com.icraze.woahdontsharethat,WoahDontShareThat,1.1,iphoneos-arm
com.icraze.yteta,YTETA,1.3,iphoneos-arm
com.idevicelover.smartbattery2,SmartBattery 2,2.2,iphoneos-arm
com.idevicelover.smartbatteryios15,SmartBattery iOS 15 - 16,1.6,iphoneos-arm64
com.idevicelover.smartbundle2,SmartBundle 2,2.3,iphoneos-arm
com.idevicelover.smartnetwork2,SmartNetwork 2,2.0,iphoneos-arm
com.irepo.boxy3,Boxy 3 (iOS 11 - 12),3.6.2,iphoneos-arm
com.irepo.boxy4,Boxy 4 (iOS 13 - 14),4.4.2,iphoneos-arm
com.irepo.vinculum2,Vinculum 2,2.0.1,iphoneos-arm
com.itznebbs.genesis3,Genesis 3,1.5,iphoneos-arm64
com.itznebbs.genesis4,Genesis 4,1.0,iphoneos-arm64
com.itznebbs.phoenix,Phoenix,1.3,iphoneos-arm64
